order_details_id,order_id,order_date,order_time,item_id,batch_id,source_file,created_at
3727,1653,1/28/23,5:28:53 PM,129.0,3,data/order_details.csv,2026-07-19 18:23:36.446247+00:00
3728,1654,1/28/23,5:31:36 PM,120.0,3,data/order_details.csv,2026-07-19 18:23:36.446247+00:00
3729,1654,1/28/23,5:31:36 PM,122.0,3,data/order_details.csv,2026-07-19 18:23:36.446247+00:00
3730,1655,1/28/23,6:15:14 PM,101.0,3,data/order_details.csv,2026-07-19 18:23:36.446247+00:00
3731,1655,1/28/23,6:15:14 PM,121.0,3,data/order_details.csv,2026-07-19 18:23:36.446247+00:00
3732,1655,1/28/23,6:15:14 PM,122.0,3,data/order_details.csv,2026-07-19 18:23:36.446247+00:00
3733,1656,1/28/23,6:15:57 PM,109.0,3,data/order_details.csv,2026-07-19 18:23:36.446247+00:00
3734,1656,1/28/23,6:15:57 PM,112.0,3,data/order_details.csv,2026-07-19 18:23:36.446247+00:00
3735,1656,1/28/23,6:15:57 PM,131.0,3,data/order_details.csv,2026-07-19 18:23:36.446247+00:00
3736,1656,1/28/23,6:15:57 PM,114.0,3,data/order_details.csv,2026-07-19 18:23:36.446247+00:00
3737,1657,1/28/23,6:24:14 PM,101.0,3,data/order_details.csv,2026-07-19 18:23:36.446247+00:00
3738,1657,1/28/23,6:24:14 PM,131.0,3,data/order_details.csv,2026-07-19 18:23:36.446247+00:00
